Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Gosford,4,603,5,CANYA NEGOTIATE,-13.8594,5.0,-15.8456,-3.4216,-15.85|-14.13|-3.42|-24.74|-11.16,1,5,20.0,53W53,2.56,0.4367,0.2,0.3657
Townsville,12,380,8,THREE HEARTS,-10.4298,5.0,-15.0876,-8.0935,-15.09|-9.73|-8.09|-15.95|-3.29,0,5,0.0,62282,3.9,0.5224,0.0,0.3657
Angle Park,10,342,1,INTEGRATOR,-10.4493,5.0,-9.9807,-9.9807,-9.98|-10.7|-10.91|-11.35|-9.3,0,5,0.0,24222,2.96,0.5219,0.0,0.3654
Bulli,10,340,4,HUMBLE TIGRESS,-10.657,5.0,-11.3942,-8.8569,-11.39|-11.27|-8.86|-12.53|-9.24,0,5,0.0,57362,2.46,0.5167,0.0,0.3617
Angle Park,1,342,1,JAZZY BOO,-10.8708,5.0,-5.3707,-5.3707,-5.37|-9.7|-12.79|-10.27|-16.22,0,5,0.0,25455,2.96,0.5114,0.0,0.358
Gosford,4,603,4,LIGHTNING HUNTER,-14.3035,5.0,-10.1596,-10.1596,-10.16|-26.99|-11.54|-14.7|-8.13,1,5,20.0,253W2,4.4,0.4256,0.2,0.3579
Mandurah,10,400,7,WAVE OF FUN,-11.1126,5.0,-14.947,-5.3878,-14.95|-8.48|-5.39|-12.76|-13.98,0,5,0.0,56454,2.66,0.5054,0.0,0.3537
Angle Park,6,342,2,FOUL THROW,-11.2406,5.0,-11.1379,2.2007,-11.14|2.2|-12.15|-19.93|-15.19,0,5,0.0,22256,3.0,0.5021,0.0,0.3515
Angle Park,5,342,5,SLIPPER'S SHINE,-11.4147,5.0,-11.695,-11.695,-11.69|-15.12|-14.36|-10.13|-5.77,0,5,0.0,54654,4.9,0.4978,0.0,0.3485
Angle Park,10,342,7,ALL THE BLING,-11.6738,5.0,-12.5318,-5.1327,-12.53|-5.13|-17.05|-13.64|-10.02,0,5,0.0,42653,4.8,0.4913,0.0,0.3439
